"Product ID","Code","Name","Quantity Fix","Pallets Fix","Colis Fix","Base Price Fix","Purchase Price Fix"
"3125","NAF CERAM","DIANA BEIGE RELIEFE 25/60 (M²)","42 -> 42","0.58 -> 0.583333333333333","28 -> 28","750 -> 749.99988","680 -> 680"
"239","CERAM DECOR","DIGITAL SOFT BLEU 02 30/60","926.64 -> 933.1200000000001","11.92 -> 12","858 -> 864","780 -> 780.0002","700 -> 700"
"574","ROYAL CERAM","DIOR BEIGE 30/90","216 -> 216","3 -> 3","144 -> 144","870 -> 870","3 -> 0"
"592","ROYAL CERAM","DIOR MARON 30/90","204.12 -> 204.12","3 -> 3","126 -> 126","870 -> 870","2 -> 0"
"512","SEK CERAM","DISCO (G+B) 25/60","288 -> 288","4 -> 4","192 -> 192","0 -> 0","4 -> 0"
"3094","TIMGAD CERAM","DORIAN WHITE RELIEFE 25/75 (M²)","174 -> 174","1.81 -> 1.8125","116 -> 116","880 -> 880","800 -> 800"
"3565","TIMGAD CERAM","DRAGON GREEN POLI REC 120/60","1439.2 -> 560","20.56 -> 8","719.6 -> 280","1300 -> 1299.9996","1200 -> 1200"
"506","TIMGAD CERAM","EDEN GRIS 25/75","382.5 -> 384","3.98 -> 4","255 -> 256","780 -> 780.0002","700 -> 700"
"294","ELVA CERAM","ELEMENT POLI REC 120/60","55.76 -> 0","0.8 -> 0","27.88 -> 0","1280 -> 1280.0004","1200 -> 1200"
"446","SEK CERAM","EMPERADOR BLANC 45/45","408.96 -> 408.96","6 -> 6","288 -> 288","0 -> 0","6 -> 0"
"87","TECHNO CERAM","EMPERADOR NOIR POLI REC 120/60","1783.28 -> 1750","25.48 -> 25","891.64 -> 875","1280 -> 1280.0004","1200 -> 1200"
"3569","TECHNO CERAM","EMPERADOR NOIR POLI REC 45/90","1435.32 -> 1458.0000000000002","24.61 -> 25","1181.33 -> 1200","1500 -> 1500.0006","1400 -> 1400"
"3292","TECHNO CERAM","ENERGIE REC 120/60 (2ÉME)","127.04 -> 70","1.81 -> 1","63.52 -> 35","680 -> 679.9998","600 -> 600"
"3033","TIMGAD CERAM","EUROPA GLOSSY 45/90","99.96 -> 0","1.47 -> 0","82.27 -> 0","1100 -> 1100","1000 -> 1000"
"1323","TIMGAD CERAM","EUROPA MATT 45/90","2277.24 -> 2177.28","33.47 -> 32","1874.27 -> 1792","1100 -> 1100","1000 -> 1000"
