Category/Family,Group Type,Product ID,Product Code,Product Name
"CERAM DECOR","Spacing Variation","1891","FICHE: SERIE TRAVERTO 30/60","FICHE: SERIE TRAVERTO 30/60"
"CERAM DECOR","Spacing Variation","3819","FICHE:SERIE TRAVERTO 30/60","FICHE:SERIE TRAVERTO 30/60"
"CERAM DECOR","Spacing Variation","1912","FICHE:WOOD DARK GRIS +GRIS BLACK 30/90","FICHE:WOOD DARK GRIS +GRIS BLACK 30/90"
"CERAM DECOR","Spacing Variation","3849","FICHE:WOOD DARK GRIS+GRIS BLACK 30/90","FICHE:WOOD DARK GRIS+GRIS BLACK 30/90"
"CERAM DECOR","Spacing Variation","1516","FICHE:SERIE CASTENA30/60","FICHE:SERIE CASTENA30/60"
"CERAM DECOR","Spacing Variation","3814","FICHE:SERIE CASTENA 30/60","FICHE:SERIE CASTENA 30/60"
"NAF CERAM","Spacing Variation","2028","FICHE: MADRID SILVER 25/75","FICHE: MADRID SILVER 25/75"
"NAF CERAM","Spacing Variation","3776","FICHE:MADRID SILVER 25/75","FICHE:MADRID SILVER 25/75"
"NAF CERAM","Spacing Variation","1968","FICHE: ONYX GRIS 25/75","FICHE: ONYX GRIS 25/75"
"NAF CERAM","Spacing Variation","3790","FICHE:ONYX GRIS 25/75","FICHE:ONYX GRIS 25/75"
"NAF CERAM","Spacing Variation","2022","FICHE: MADRID GOLD 25/75","FICHE: MADRID GOLD 25/75"
"NAF CERAM","Spacing Variation","3775","FICHE:MADRID GOLD 25/75","FICHE:MADRID GOLD 25/75"
"ELVA CERAM","Spacing Variation","2194","SWIFT GRIS REC  60/60","SWIFT GRIS REC  60/60"
"ELVA CERAM","Spacing Variation","3657","SWIFT GRIS REC 60/60","SWIFT GRIS REC 60/60"
