Group #,Family,Kept ID,Kept Name,Kept Orig Qty,Old ID,Old Name,Old Orig Qty,Old Sales Qty,Old Purchase Qty,Prev Wrongly Added,Correction Applied,Final Qty
"82","SANI DECOR","3207","SIEGE SEPARE NICE PLUS VERTICAL (2éme) (SD2-620-ECOV)","5","911","SIEGE SEPARE NICE PLUS VERTICAL (2me) (SD2-620-ECOV)","0","0","0","0","0","5"
"83","NAF CERAM","3287","MOTIF MALAGA GOLD 25/75 (2éme)","192","912","MOTIF MALAGA GOLD 25/75 (2me)","0","0","0","0","0","192"
"84","NAF CERAM","3112","DIAMOND SILVER RELIEFE 25/60 (M²)","106.5","913","DIAMOND SILVER RELIEFE 25/60 (Mý)","0","0","0","0","0","106.5"
"85","TECHNO CERAM","3073","ALEXA RELIEFE 30/90 (M²)","64.8","915","ALEXA RELIEFE 30/90 (Mý)","0","0","0","0","0","64.8"
"86","ELVA CERAM","3103","OSCAR MATT REC 60/60 (2éme)","0","916","OSCAR MATT REC 60/60 (2me)","0","12.96","0","0","-12.96","-12.96"
"87","CERAM DECOR","3101","SNOW WHITE RELIEFE 30/90 (M²)","46.2","919","SNOW WHITE RELIEFE 30/90 (Mý)","0","0","0","0","0","46.2"
"88","SANI DECOR","3222","AVABO SUSPENDUE WASH (2éme) (SD2-1055-SC)","0","923","AVABO SUSPENDUE WASH (2me) (SD2-1055-SC)","0","0","0","0","0","0"
"89","SANI DECOR","3146","SIEGE SUSPENDUE ELITE (2éme) (SD2-523-SS)","4","942","SIEGE SUSPENDUE ELITE (2me) (SD2-523-SS)","0","0","0","0","0","4"
"90","NAF CERAM","3114","DIAMOND GOLD RELIEFE 25/60 (M²)","0","957","DIAMOND GOLD RELIEFE 25/60 (Mý)","0","0","0","0","0","0"
"91","TIMGAD CERAM","3093","ACRA GRIS RELIEFE 25/75 (M²)","384","967","ACRA GRIS RELIEFE 25/75 (Mý)","0","0","0","0","0","384"
"92","CERAM DECOR","3165","CHANEL GRIS RELIEFE 30/90 (M²)","5.28","990","CHANEL GRIS RELIEFE 30/90 (Mý)","0","0","0","0","0","5.28"
"93","SANI DECOR","3223","AVABO SUSPENDUE TWIN S-COL (2éme)","0","993","AVABO SUSPENDUE TWIN S-COL (2me)","0","0","0","0","0","0"
"94","ELVA CERAM","3100","CARLA BEIGE REC 60/60 (2éme)","51.84","999","CARLA BEIGE REC 60/60 (2me)","0","0","0","0","0","51.84"
"95","NAF CERAM","3168","MAJESTIC SILVER RELIEFE 25/75 (M²)","0","1007","MAJESTIC SILVER RELIEFE 25/75 (Mý)","0","0","0","0","0","0"
"96","TIMGAD CERAM","3748","FICHE:DRAGON GREEN POLI REC 120/60","2","1013","FICHE: DRAGON GREEN POLI/REC 120/60","2","0","0","2","-2","2"
